"course_id","objecttable","resource_id","resource_title","parent_resource_id","parent_resource_title","attempt_state"
2060,forum_posts,922826,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,923081,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,923451,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,925728,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,926399,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,928878,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,928924,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,929673,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,930743,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,931086,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,931104,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,931867,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,935264,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,936813,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,937688,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,937690,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,937691,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,937695,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,937701,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,937758,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,938789,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,939025,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,939271,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,939275,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,939280,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,939355,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,940900,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,940905,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,942363,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,943233,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,943263,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,943270,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,943275,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,943284,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,943287,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,943294,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,943296,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,945206,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,945232,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,945375,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,945889,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,946628,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,946710,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,946788,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,947875,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,948020,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,948024,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,948995,FÓRUM DA DISCIPLINA,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,883898,PLÁGIO,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,916841,PLÁGIO,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,917129,PLÁGIO,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,918612,PLÁGIO,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,919873,PLÁGIO,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,923473,PLÁGIO,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,911417,Plágio e Similaridades textuais,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,916215,Plágio e Similaridades textuais,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,916680,Plágio e Similaridades textuais,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,917135,Plágio e Similaridades textuais,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,917233,Plágio e Similaridades textuais,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,917237,Plágio e Similaridades textuais,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,917241,Plágio e Similaridades textuais,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,917405,Plágio e Similaridades textuais,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,918601,Plágio e Similaridades textuais,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,919895,Plágio e Similaridades textuais,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,923467,Plágio e Similaridades textuais,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,930983,Plágio e Similaridades textuais,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,946826,Plágio e Similaridades textuais,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,947465,Plágio e Similaridades textuais,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,911460,Fórum da Disciplina,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,914174,Fórum da Disciplina,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,914720,Fórum da Disciplina,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,916842,Fórum da Disciplina,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,917128,Fórum da Disciplina,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,918094,Fórum da Disciplina,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,918245,Fórum da Disciplina,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,918600,Fórum da Disciplina,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,918814,Fórum da Disciplina,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,919057,Fórum da Disciplina,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,919853,Fórum da Disciplina,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,921862,Fórum da Disciplina,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,923349,Fórum da Disciplina,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,923439,Fórum da Disciplina,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,928923,Fórum da Disciplina,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,945917,Fórum da Disciplina,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,911522,Sejam bem vindos!,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,912986,Sejam bem vindos!,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,913050,Sejam bem vindos!,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,913071,Sejam bem vindos!,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,913270,Sejam bem vindos!,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,913392,Sejam bem vindos!,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,913409,Sejam bem vindos!,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,913746,Sejam bem vindos!,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,913858,Sejam bem vindos!,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,914040,Sejam bem vindos!,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,914046,Sejam bem vindos!,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,914157,Sejam bem vindos!,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,914184,Sejam bem vindos!,26775,Fórum permanente para dúvidas e discussões,
2060,forum_posts,914249,Sejam bem vindos!,26775,Fórum permanente para dúvidas e discussões,
